"","lon","lat","sif"
"295",-50.87,-22.03,0.145278930664062
"296",-50.86,-22.53,0.221674919128418
"297",-50.86,-22.51,0.767931938171387
"298",-50.86,-22.27,0.10284423828125
"299",-50.86,-22.17,0.296536445617676
"300",-50.86,-21.91,0.05047607421875
"301",-50.85,-22.69,0.314269065856934
"302",-50.85,-22.32,0.36661434173584
"303",-50.85,-22.2,0.0650320053100586
"304",-50.85,-22.15,0.174063682556153
"305",-50.85,-22.13,0.253795623779297
"306",-50.85,-21.92,0.279914855957031
"307",-50.84,-22.02,0.0885295867919922
"308",-50.84,-21.99,0.161027908325195
"309",-50.83,-22.23,0.37246036529541
"310",-50.83,-21.77,0.721681594848633
"311",-50.82,-22.59,0.0269069671630859
"312",-50.82,-22.42,0.146842002868652
"313",-50.82,-22.37,0.296940803527832
"314",-50.82,-22.29,0.112953186035156
"315",-50.82,-22.02,0.17136287689209
"316",-50.81,-22.38,0.0704736709594727
"317",-50.81,-22.11,1.01320552825928
"318",-50.8,-22.68,0.202986717224121
"319",-50.8,-22.3,0.263409614562988
"320",-50.8,-22.15,0.107515335083008
"321",-50.8,-22.08,0.20949649810791
"322",-50.8,-22.07,0.304314613342285
"323",-50.8,-22,0.214506149291992
"324",-50.79,-22.65,0.306288719177246
"325",-50.79,-22.37,0.37566089630127
"326",-50.79,-22.21,0.229843139648438
"327",-50.78,-22.47,0.193137168884277
"328",-50.78,-22.39,0.163070678710938
"329",-50.78,-22.31,0.448451995849609
"330",-50.78,-22.13,0.695913314819336
"331",-50.77,-22.93,0.243498802185059
"332",-50.77,-22.83,0.382101058959961
"333",-50.77,-22.65,0.395669937133789
"334",-50.77,-22.48,0.05712890625
"335",-50.77,-22.42,0.0961313247680664
"336",-50.77,-22.24,0.0963516235351562
"337",-50.75,-22.93,0.454765319824219
"338",-50.75,-22.85,0.317007064819336
"339",-50.75,-22.47,0.303208351135254
"340",-50.75,-22.46,0.042755126953125
"341",-50.75,-22.3,0.401304244995117
"342",-50.74,-22.51,0.238804817199707
"343",-50.73,-22.48,0.0662002563476562
"344",-50.73,-22.17,0.250105857849121
"345",-50.72,-22.68,0.195124626159668
"346",-50.71,-22.57,0.233563423156738
"347",-50.71,-22.43,0.406505584716797
"348",-50.7,-22.85,0.192419052124023
"349",-50.7,-22.84,0.130984306335449
"350",-50.7,-22.73,0.170080184936523
"351",-50.69,-22.73,0.111598968505859
"352",-50.68,-22.74,0.266037940979004
"353",-50.68,-22.69,0.666506767272949
"354",-50.66,-22.81,0.101577758789062
"355",-50.66,-22.75,0.484318733215332
"356",-50.65,-22.82,0.19766902923584
"357",-50.65,-22.75,0.0229291915893555
"358",-50.63,-22.81,0.36552619934082
"359",-50.62,-22.55,0.188760757446289
"360",-50.6,-22.89,0.224601745605469
"361",-50.52,-20.52,0.0574483871459961
"362",-50.5,-20.34,0.177089691162109
"363",-50.49,-20.59,0.066136360168457
"364",-50.32,-21.45,0.311663627624512
"365",-50.32,-18.94,0.323983192443848
"366",-50.31,-18.92,0.321435928344727
"367",-50.29,-21.52,0.141082763671875
"368",-50.28,-21.56,0.178902626037598
"369",-50.28,-18.86,0.435786247253418
"370",-50.27,-21.55,0.149661064147949
"371",-50.26,-18.77,0.225990295410156
"372",-50.25,-21.56,0.318994522094727
"373",-50.25,-18.82,0.312484741210938
"374",-50.24,-21.53,0.33580493927002
"375",-50.23,-21.7,0.0530490875244141
"376",-50.23,-19.37,0.402334213256836
"377",-50.22,-18.8,0.301957130432129
"378",-50.21,-19.12,0.0172348022460938
"379",-50.21,-19.05,0.482946395874023
"380",-50.2,-22,0.27692699432373
"381",-50.2,-19.48,0.159307479858398
"382",-50.2,-18.87,0.244357109069824
"383",-50.19,-21.78,0.221226692199707
"384",-50.19,-19.08,0.173395156860352
"385",-50.18,-21.92,0.30811882019043
"386",-50.18,-18.79,0.660540580749512
"387",-50.17,-21.85,0.0278301239013672
"388",-50.17,-19.01,0.254934310913086
"389",-50.16,-18.9,0.580839157104492
"390",-50.16,-18.78,0.463401794433594
"391",-50.15,-19.14,0.833410263061523
"392",-50.15,-19.1,0.382626533508301
"393",-50.15,-18.82,0.233034133911133
"394",-50.14,-19.4,0.475409507751465
"395",-50.14,-19.04,0.304719924926758
"396",-50.14,-18.71,0.0203609466552734
"397",-50.13,-19.09,0.27397346496582
"398",-50.12,-19.13,0.387370109558105
"399",-50.11,-19.55,0.334301948547363
"400",-50.11,-19.13,0.344181060791016
"401",-50.1,-22.4,0.188543319702148
"402",-50.1,-19.01,0.694091796875
"403",-50.09,-22.16,0.215259552001953
"404",-50.09,-20.05,0.400674819946289
"405",-50.09,-19.99,0.371285438537598
"406",-50.09,-19.39,0.127701759338379
"407",-50.09,-19.34,0.458383560180664
"408",-50.09,-19.26,0.170750617980957
"409",-50.09,-19.18,0.119204521179199
"410",-50.09,-19.1,0.203242301940918
"411",-50.09,-19.08,0.375779151916504
"412",-50.09,-19.04,0.349935531616211
"413",-50.09,-18.91,0.0560541152954102
"414",-50.09,-18.89,0.090245246887207
"415",-50.08,-22.34,0.155124664306641
"416",-50.08,-19.32,0.417604446411133
"417",-50.08,-19.15,0.150470733642578
"418",-50.08,-19.04,0.0503749847412109
"419",-50.08,-18.99,0.201271057128906
"420",-50.07,-18.85,0.0548887252807617
"421",-50.06,-22.31,0.713089942932129
"422",-50.06,-19.45,0.590106010437012
"423",-50.06,-19.43,0.397101402282715
"424",-50.06,-19.39,0.22960376739502
"425",-50.05,-20.93,0.151228904724121
"426",-50.05,-20.19,0.384980201721191
"427",-50.05,-19.51,0.303496360778809
"428",-50.05,-19.43,0.295403480529785
"429",-50.05,-19.3,0.0559072494506836
"430",-50.05,-18.93,0.135393142700195
"431",-50.05,-18.91,0.0294246673583984
"432",-50.04,-19.36,0.496442794799805
"433",-50.04,-19.3,0.0808725357055664
"434",-50.03,-20.14,0.180139541625977
"435",-50.03,-19.48,0.128933906555176
"436",-50.03,-19.05,0.194831848144531
"437",-50.03,-18.8,0.0256948471069336
"438",-50.02,-19.34,0.486419677734375
"439",-50.01,-19.51,0.407196044921875
"440",-50.01,-19.21,0.299363136291504
"441",-50.01,-19.06,0.19504451751709
"442",-50.01,-18.79,0.324184417724609
"443",-50.01,-18.68,0.0258817672729492
"444",-50,-20.29,0.0935182571411133
"445",-50,-19.67,0.354825019836426
"446",-50,-19.65,0.314269065856934
"447",-50,-19.04,0.0713310241699219
"448",-50,-18.93,0.482694625854492
"449",-49.99,-19.76,0.138777732849121
"450",-49.99,-19.57,0.164661407470703
"451",-49.99,-19.51,0.630101203918457
"452",-49.99,-19.47,0.153952598571777
"453",-49.99,-19.17,0.242156982421875
"454",-49.99,-19.13,0.382078170776367
"455",-49.99,-19.12,0.270015716552734
"456",-49.99,-18.97,0.215884208679199
"457",-49.99,-18.91,0.15880298614502
"458",-49.99,-18.63,0.173826217651367
"459",-49.98,-21.38,1.16403579711914
"460",-49.98,-20.53,0.631106376647949
"461",-49.98,-19.15,0.52372932434082
"462",-49.98,-18.98,0.054774284362793
"463",-49.97,-19.54,0.105981826782227
"464",-49.97,-19.23,0.232624053955078
"465",-49.96,-19.25,0.0284194946289062
"466",-49.96,-19.09,0.280887603759766
"467",-49.96,-19.01,0.227492332458496
"468",-49.95,-21.55,0.141110420227051
"469",-49.95,-20.32,0.432531356811523
"470",-49.95,-19.99,0.313531875610352
"471",-49.95,-19.65,0.130519866943359
"472",-49.95,-19.63,0.452654838562012
"473",-49.95,-19.61,0.0939416885375977
"474",-49.95,-19.35,0.750003814697266
"475",-49.95,-19.2,0.076019287109375
"476",-49.95,-19.11,0.116266250610352
"477",-49.95,-19.04,0.379539489746094
"478",-49.95,-18.93,0.396722793579102
"479",-49.95,-18.83,0.0980558395385742
"480",-49.94,-19.44,0.185440063476562
"481",-49.94,-19.36,0.187901496887207
"482",-49.94,-19.05,0.079157829284668
"483",-49.94,-18.97,0.308889389038086
"484",-49.93,-19.67,0.0858502388000488
"485",-49.93,-18.92,0.432491302490234
"486",-49.92,-20.12,0.41628360748291
"487",-49.92,-19.58,0.183491706848145
"488",-49.91,-21.91,0.101273536682129
"489",-49.91,-20,0.466482162475586
"490",-49.91,-19.83,0.241612434387207
"491",-49.91,-19.67,0.0949010848999023
"492",-49.91,-19.44,0.169771194458008
"493",-49.91,-19.43,0.106088638305664
"494",-49.91,-19.41,0.70110034942627
"495",-49.91,-19.39,0.294116973876953
"496",-49.91,-19.29,0.0518856048583984
"497",-49.9,-19.87,0.295356750488281
"498",-49.9,-19.58,0.143568992614746
"499",-49.9,-19.32,0.0294618606567383
"500",-49.89,-20.18,0.00766658782958984
"501",-49.89,-19.41,0.877609252929688
"502",-49.88,-22.11,7.72476196289062e-05
"503",-49.88,-20.31,0.0148229598999023
"504",-49.88,-19.53,0.0817251205444336
"505",-49.88,-19.42,0.417568206787109
"506",-49.88,-19.36,0.284993171691895
"507",-49.87,-19.69,0.322400093078613
"508",-49.87,-19.61,0.121518135070801
"509",-49.87,-19.36,0.115041732788086
"510",-49.86,-20.48,0.310035705566406
"511",-49.86,-19.13,0.190509796142578
"512",-49.85,-21.19,0.88193416595459
"513",-49.85,-20.35,0.126888275146484
"514",-49.85,-20.07,0.153158187866211
"515",-49.85,-19.67,0.00181484222412109
"516",-49.85,-19.48,0.00171279907226562
"517",-49.85,-19.42,0.151535034179688
"518",-49.85,-19.37,0.437009811401367
"519",-49.84,-20.26,0.525455474853516
"520",-49.84,-19.71,0.0427560806274414
