"","Latitude","Longitude","Date","MODIS_Tile","MOD13A1_006_Line_Y_500m","MOD13A1_006_Sample_X_500m","MOD13A1_006__500m_16_days_NDVI","MOD13A1_006__500m_16_days_VI_Quality","MOD13A1_006__500m_16_days_VI_Quality_bitmask","MOD13A1_006__500m_16_days_VI_Quality_MODLAND","MOD13A1_006__500m_16_days_VI_Quality_MODLAND_Description","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness_Description","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity_Description","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds_Description","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow_Description","lon","lat","flag_br","flag_norte","flag_nordeste","flag_sul","flag_sudeste","flag_centroeste"
"4719",-20.24708176,-50.48970795,"2019-07-12","h13v11",59,631,0.459,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4720",-20.24708176,-50.48970795,"2019-07-28","h13v11",59,631,0.4062,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4721",-20.24708176,-50.48970795,"2019-08-13","h13v11",59,631,0.4947,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4722",-20.24708176,-50.48970795,"2019-08-29","h13v11",59,631,0.4522,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4723",-20.24708176,-50.48970795,"2019-09-14","h13v11",59,631,0.5098,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4724",-20.24708176,-50.48970795,"2019-09-30","h13v11",59,631,0.4816,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4725",-20.24708176,-50.48970795,"2019-10-16","h13v11",59,631,0.4845,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4726",-20.24708176,-50.48970795,"2019-11-01","h13v11",59,631,0.5179,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4727",-20.24708176,-50.48970795,"2019-11-17","h13v11",59,631,0.4715,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4728",-20.24708176,-50.48970795,"2019-12-03","h13v11",59,631,0.6637,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
